date,Punjab,Haryana,Rajasthan,Delhi,Uttar Pradesh,Uttarakhand,Himachal Pradesh,Jammu and Kashmir,Chandigarh,Chhattisgarh,Gujarat,Madhya Pradesh,Maharashtra,Goa,DD,DNH,Andhra Pradesh,Karnataka,Kerala,Tamil Nadu,Pondy,Bihar,DVC,Jharkhand,Odisha,West Bengal,Sikkim,Arunachal Pradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,Telangana,,,,
01.04.13,92.3,91.6,155,56.1,195,27.3,21,33.8,3.1,72.7,249.9,133,337.8,7.2,5.9,13.2,153.7,158,56,223.2,6,32.7,56.7,19.6,69.4,126.6,1.1,1.4,16,0.8,4.2,1.1,1.2,3.5,0,,,,
02.04.13,97.8,92.4,155.6,61,192.4,27.6,21.2,31.8,3.5,76.3,246.1,135.2,357.5,7.5,5.5,12.8,148.5,159.4,57.6,234.4,6,30.3,57.3,19.8,70.2,137,1.2,1.2,16.8,1.2,4.4,1,1.2,2.9,0,,,,
03.04.13,98.4,93.3,145.1,62.1,192.4,29,22.3,29.2,3.6,65.5,250.8,127.1,365,8.6,5.8,12.8,149,164.6,59.5,229.4,6.4,29.5,56.3,19.4,68.1,136.2,1.3,1.1,16.3,1.2,4.5,1,1,2.6,0,,,,
04.04.13,99.7,95.3,136.9,62,197.3,28.5,23.3,29.5,3.5,62.1,251.4,127.6,366.5,8.2,6,13.4,149,163.7,62,224,6.4,27.6,54.1,16.5,67.2,140.4,1.3,0.9,16.1,1.2,4.3,1,1,3.1,0,,,,
05.04.13,101.3,102,142.5,63,194.8,29.4,23.8,30.7,3.5,74,256.1,134.8,362.5,8.2,6.1,13.8,153.9,161.8,61.4,227.3,6.5,29.4,51.9,17.8,68.5,134,0.9,1,15.2,1.3,4.2,0.9,0.8,3,0,,,,
06.04.13,100.3,93.3,143.1,64.6,187.3,28.8,23.1,28.4,3.6,71.5,260.5,135.7,359.6,8.1,6.1,13.3,146,163.3,60.5,230.2,6.6,26,54.7,17.3,70.3,135.9,0.8,1,15.1,1,4.1,0.8,1.1,2.8,0,,,,
07.04.13,100.7,90.8,142.3,62.6,197.7,29.6,23.7,27,3.5,72.6,262.3,136.5,356.6,7.9,5.8,14,148.9,161.1,59.4,241.3,6.6,28.7,56.7,19.3,71,134.5,0.8,1,15.6,1,4.5,1,0.9,2.6,0,,,,
08.04.13,96.9,89.7,147.8,60.1,201.8,26.9,22.1,28.5,3.3,73.1,252.2,136,353.3,7.9,6,13.9,146.5,161.2,56.3,227.2,6.2,30,66.8,17.6,67,126.1,0.8,0.9,16.1,1,4.5,0.9,0.9,3,0,,,,
09.04.13,99.3,91.9,140.2,68.4,204.6,30.4,22.9,30.8,3.8,75.5,261.7,138.9,372.1,7.8,5.7,13.9,150.5,169.6,60.3,227.8,6.5,29.8,56.6,19.3,70.3,136.4,1.2,1,15.7,1,4.5,1,0.9,3.4,0,,,,
10.04.13,103,89.6,141.5,69.9,201.2,31.8,23.2,32.2,4,74.7,264.3,136.7,372.4,7.9,6.2,14,149,172.1,59.3,233.7,6.6,30.5,53.4,19.5,73.4,147.8,1.2,1.1,16.1,1.2,4.1,1,0.9,3.1,0,,,,
11.04.13,97.1,86.5,132.4,72.7,195.4,30.4,23.3,26.6,4.1,75,262.9,142.6,374,8.1,6.2,14,145,169.7,59.4,236.7,6.5,31.5,51.1,20.7,67.8,152.5,1.1,1.1,15.3,1.1,4.4,1,0.9,3.2,0,,,,
12.04.13,105.1,91.9,141.2,74.7,199.3,25.4,23.6,26.7,4.3,74.8,264.8,143,361.7,8,6.3,14,146,162.4,60.8,233.7,6.5,36.5,53.8,20.2,73.4,141.9,1.5,1.2,15.3,1.1,4,1,0.9,3.2,0,,,,
13.04.13,100.5,94.9,141.1,73.1,206.7,29.3,22.4,27.3,4.2,77.5,267.5,144.9,362.5,8.2,6.3,14,148.8,169.3,61.2,228.9,6.6,34.8,56.2,20.4,72.8,135,0.5,1.2,16.7,1.1,3.4,1.1,0.9,3.1,0,,,,
14.04.13,99.9,89.2,138.6,67.5,211.8,30.9,23.8,28,3.9,69.6,267,141.1,367.9,8.3,6.2,13.5,150.4,172.2,60.5,225.1,6.6,33.9,54.7,19.1,85.9,121.7,1.2,1.1,16.2,1.1,4,1.1,0.9,3.3,0,,,,
15.04.13,98.5,88.2,135.1,68.6,210,28.4,22,29.4,3.6,51.1,258.7,132.7,360.1,7.5,6.1,14,149.5,167.2,57.4,237.2,6,28.8,51.4,17.1,62.6,124.5,0.5,1.1,14.7,1.1,3.8,1,0.6,3.4,0,,,,
16.04.13,99.9,96.3,141.8,75.3,217.5,30.6,21,30.1,4.2,67.7,269.9,138.7,373.7,7.3,6.2,14.1,149.2,170.8,57.9,224.3,6.4,29.3,54.4,15.4,76,127.6,1.2,1.3,12.6,1.1,4.2,0.9,1.1,3.1,0,,,,
17.04.13,101.6,97.6,137.9,78.6,218.6,32.6,23.1,23.7,4.2,73.6,269.8,140.1,368.4,7.3,6.3,14.3,149.7,169.6,59.6,246.3,6.4,33.5,57.8,19,71.6,131.5,0.8,1.2,15.7,1.1,4.2,0.9,1,2.7,0,,,,
18.04.13,102.2,96.1,141.3,78.4,220.9,32.1,24.6,28.7,4.1,79.9,267.9,140.4,368.6,7.9,6.4,14.9,141.1,170.7,61.1,241.1,6.5,29.6,55.8,22.8,69.6,123.5,1,1.2,16,1.2,3.7,1,0.9,3.1,0,,,,
19.04.13,102,95.2,140.1,78.6,216,32.3,24.7,29.4,4.2,72.8,264.8,137.1,361,7.4,6.3,14.3,145.7,171.2,60.4,243.7,6.7,31.9,57.7,19.1,67.9,116.9,1.3,1.3,16.7,1.2,3.8,1,1,3,0,,,,
20.04.13,105.1,95.1,136.8,76.3,216,31.8,24.6,29.4,4.1,69.5,255.8,121.4,352.8,7.9,6.4,14.5,147.8,166.7,60.7,236.4,6.6,31.6,55,15.5,62.1,118.9,1.4,1.2,15,1,4,1,1.1,3.2,0,,,,
21.04.13,102,94.9,138.2,76.5,215.7,29.8,24.5,30.7,4.1,55,230.9,122,357.5,8,6.1,13.8,138,169.5,60,236,6.8,32,59.2,16.5,56,108.5,0.6,1.2,14.8,1.2,3.8,1.1,1.1,2.8,0,,,,
22.04.13,92.8,90.8,131.6,71.1,208.1,29.3,22.9,30.9,3.7,55.8,237.1,122.1,354,7.2,6.2,14.4,131.2,161.7,55.4,230.3,6.2,30,55.3,17.2,59.2,101.9,0.8,1.1,15.7,1,3.7,1,1.1,3.4,0,,,,
23.04.13,100.5,92.3,132.4,74,212.1,31.9,24,28,4.3,61.5,244.4,128.6,365.7,8,6.3,14.5,134.6,167.4,59.8,232.6,6.6,34.1,54.3,19.4,64,107.5,0.7,1.1,15.8,1.2,4,1.1,1.2,3.2,0,,,,
24.04.13,103.3,95.8,138.2,77.1,219.3,31.8,24.6,28.9,4.3,67.6,247.3,136.9,371,8,6.3,14.3,135,169.4,60.5,233.4,6.6,32.5,58.7,19.7,67.9,117.9,1.1,0.7,17.1,1.1,4,1.1,1.2,3.1,0,,,,
25.04.13,103.5,101.2,145.9,78.4,227.3,32.3,24.2,31.4,4.3,69.1,261.2,141,370.2,7.9,6.2,14.3,132.3,164.2,59.7,231.6,6.6,31.6,59.1,20.2,69.4,120.6,1.3,1.2,16.1,1.2,3.8,1,1.3,3.1,0,,,,
26.04.13,103.8,104.7,142.8,83.4,228,32.7,23.6,30.2,4.5,67.9,262.8,134.7,367.9,8.3,6.3,14,139.2,156.8,58.9,232.9,6.7,32.9,59.7,21.3,70.9,129,1.2,0.8,16.8,1.1,3.3,1.1,1.1,3.1,0,,,,
27.04.13,98.6,101.8,146.5,83.6,224.9,32.8,24.3,30.9,4.3,70.4,266.2,132.5,349,8,6.2,14.2,138.8,149.4,59,232.8,6.6,37.1,61.5,21,68.2,123.8,1.2,0.9,17.4,1.2,3.3,1.1,1.2,2.6,0,,,,
28.04.13,101.7,105,144.9,79.2,225.6,33.6,23.8,29.6,4.2,72.4,269.4,142,362.8,8.5,6.2,14.4,142.6,156.3,58.3,231.7,6.4,37.9,62.9,21,69.9,138.7,1.5,1,16.3,1.1,3.3,1,1.2,3,0,,,,
29.04.13,98.2,101.6,143.5,74.5,231.1,30.6,22.1,30.7,3.7,73.6,258.1,142.7,362.8,7.2,6.2,14.2,140.6,149,52.9,241.9,6.1,37.6,61.9,20.9,70.7,124.6,0.7,0.8,17.5,1.3,3.1,1,1.1,2.3,0,,,,
30.04.13,106.7,104.8,153.2,81.6,231.1,32.8,22.9,29.4,4.4,74.2,270.8,144.5,377.5,8.6,5.7,13.5,142.8,153.8,53.6,238.3,6.5,39.4,62.8,21.2,71.8,132.7,0.3,1.2,17.6,0.9,3.4,1,1.2,3,0,,,,
01.05.13,111.2,107.1,155.1,86.1,235.5,33.7,23.3,30.1,4.6,76,273.9,145.3,378.2,8.3,6,14,145.9,158.6,59,233.4,6.4,37.5,57.3,21.5,72.3,145.2,1.2,1.2,18,1.1,2.6,1,1.2,2.8,0,,,,
02.05.13,114.2,109.2,153.8,82.7,235.7,31.9,22.3,28.4,4.5,75.3,266.4,145.3,342.9,8.4,4.9,13.1,140.2,153.7,56.7,220.2,5.9,38.6,56.2,21.2,70.9,131,1.5,1.4,16.1,1.3,2.8,1.1,1.8,3,0,,,,
03.05.13,116.3,107.5,153.9,83.5,233.9,32.3,23.3,28.4,4.5,75,270,138.2,362,8.3,5.6,13.4,136.3,160.2,58.8,225.8,6.4,39,57.2,21.7,70.2,138.6,1.1,1.1,15,1.1,2.4,0.9,1.3,3,0,,,,
04.05.13,118.1,111.4,154.4,85.3,235.2,31.6,23.5,29.1,4.5,73.4,270.1,136.6,367.5,8.8,5.2,13.9,142,163.2,60.4,249.6,6.4,39,59.5,21.1,69.7,129.8,1.1,1.1,14.9,1,3,1,1.3,3.1,0,,,,
05.05.13,120.1,113.8,155.4,83.3,234.2,32.2,23.5,29.9,4.5,72.9,271.9,139.8,367.4,8.4,5.5,13.9,140.9,167.7,60,238.5,6.6,39.2,58.6,20,66.5,126.3,1.1,1,15,1,3.7,0.9,1.2,2.5,0,,,,
06.05.13,118.1,113.2,155.6,80.8,240.5,31.3,21.6,29.6,4.2,74.3,256.6,142.6,361.5,7.5,5.7,13.8,137.1,164.2,56.4,223.8,6.3,38.3,55.7,19.3,66.8,115.2,1.1,1.3,14.2,1.5,2.8,0.9,1.5,2.2,0,,,,
07.05.13,124,120.8,157.7,90.8,239.7,32.8,23.1,28.6,5.1,73.8,268.8,145.4,371.3,8.3,5.9,14,142.5,165.5,59.6,221.9,6.4,35.7,56.4,19.4,66.6,127.8,1.5,1.2,15.2,1.5,3.6,0.9,1.7,1.8,0,,,,
08.05.13,127.2,116.5,159,92.1,227.5,31.8,22.7,29.7,4.6,70,270.8,146.8,375.9,8,6.2,13.5,139.7,168.9,57.9,228.2,6.4,38.8,58.3,19.4,62.8,131.3,1.5,1.2,16.3,1.3,3.7,0.9,1.4,2.3,0,,,,
09.05.13,130.6,130.9,161.6,93,228.7,31.6,23.8,31,5.3,74.3,268.1,147.1,374.1,8.4,6.2,14.1,141,167.7,58.7,254.5,6.6,39.3,57.1,21.2,71.5,137,1.6,1.1,16.4,1.4,4.1,1,1.3,2.6,0,,,,
10.05.13,134.7,131.7,158.9,94.8,236.4,34.4,23.6,32,5.3,74.3,271.3,145.1,375.2,8.2,6.2,13.9,142.7,146.4,59,259,6.7,40.1,55.3,21.7,73.1,135.7,1.3,1.3,16.5,1.4,3.4,1,1.2,2.5,0,,,,
11.05.13,134.6,135,156.5,96.6,239.2,35.3,23.5,31,5.5,73.9,268.1,138,369.5,8.5,6.1,13.8,144.9,149.5,61.2,259.4,6.8,39.9,57.7,22,72.1,134.3,1.3,1.4,14.9,1.4,4.2,1,1.4,2.8,0,,,,
12.05.13,119,133.6,146.3,88.3,246.7,33.9,15.8,30.7,4.7,69.5,265.7,137,368.7,8.3,5.8,13.7,147.7,147.1,60.7,258.6,6.6,39.2,56.6,21.7,74,134.4,1.5,1.3,17.2,1.7,3.9,0.7,1.3,2.3,0,,,,
13.05.13,121.1,124,136.5,79.7,241.1,29.7,21.3,31.4,3.8,69.8,254.4,135.9,357.6,7.5,5.6,13.6,129.8,141.8,56.2,257,6.1,37.6,55.2,21.2,67,106.9,1.5,1.4,15.1,1.8,3.3,0.8,1.2,2.7,0,,,,
14.05.13,126.1,122.9,147,86.9,235.5,32.6,22.7,30.8,4.4,68.8,261.7,140.9,369.3,8.1,5.7,13.7,140.4,156.8,58.5,250.7,5.8,36.9,54.3,19,65.3,110.9,1.3,1.3,16.7,0.9,3.7,0.9,1.1,2.5,0,,,,100
15.05.13,135,116.8,157.4,89.8,246.5,31.2,23.2,29.4,5.3,69.9,267.6,145,369.6,8,5.8,13.4,141.4,159.4,58,267.3,6.3,36,53.7,19.1,71.5,121.4,1.2,1.3,16.8,1.7,3.5,0.8,1.4,2.5,0,,,,
16.05.13,133.2,121.1,154.6,92.2,245.8,32.7,24.1,30.9,5,69,266.4,144.8,365.5,8.2,5.2,13.4,138.7,162.4,58.1,265.9,6.3,37.4,54.4,21.2,70.5,123,1.2,1.5,20.1,1.6,4.1,1.1,1.6,2.5,0,,,,
17.05.13,137,127.3,149.7,94.4,251.9,33.6,24.2,31.3,5.2,69.8,267.3,143.5,367.2,8.1,5.6,13.4,136.4,162.3,59,263.9,6.6,36.3,52.1,21.4,71.8,127.8,0.7,1.3,18.1,1.5,4.3,0.8,1.3,2,0,,,,
18.05.13,144.1,133.5,160.4,95.5,249.2,34.3,24.7,32.3,5.3,70.2,266.2,140.2,364.8,8.3,5.6,13.4,139.2,168.5,60.2,233.5,6.6,31.8,57.2,19.8,70.2,120,1.4,1.4,18.1,1.3,4.5,0.9,1.2,2.2,0,,,,
19.05.13,135.4,132.1,162.6,93.7,253,34.8,24.4,31.5,5.3,65.2,265.1,140.7,366.4,8,5.3,13.5,135,162.9,60.2,232.9,6.5,29.9,58.8,20.9,73.5,116.2,1.8,1.4,17.4,1,4.4,1,1.6,2.8,0,,,,
20.05.13,144.5,129.3,157.7,92.6,255.9,34.2,22.7,29.5,4.9,66.2,253.7,135.6,360.4,7,5.6,13.3,140.1,146.3,56.8,239.6,6.1,35.1,55,20.2,69.4,106.9,0.3,1.4,16.8,1.4,4.2,1,1.5,2.5,0,,,,
21.05.13,149.8,134.5,166.5,99.6,245.8,35.8,24.5,28.8,5.7,66.5,261.1,138.9,366.2,7,5.9,13.6,139.8,149.4,54.5,238.9,6.3,36,55.5,20.7,72.2,122.8,2,1.4,18.6,1.2,4.5,1,1.5,2.8,0,,,,
22.05.13,154.2,137.2,162.5,101.3,247.6,36.4,25,30.5,6,67.5,262,140.8,377.3,7,6,13.7,143.3,142.3,52.8,252.8,6.6,39.1,58,20.9,71.2,124.9,1.5,1.4,20.1,1.4,4.3,1.1,1.5,3,0,,,,
23.05.13,153.5,137.1,165.6,101.8,250.7,36.6,24.9,30.1,6.2,67.5,259.4,139.5,381.2,8.2,5.9,13.7,145.9,152.8,59.2,262.9,6.6,40.4,59.5,21.6,69.5,126.1,1.1,1.2,18.7,1.4,4.3,1,1.5,3.2,0,,,,
24.05.13,156.8,137.1,167.3,104.9,248.6,36,25.2,30.1,6.2,68.2,263.8,140.9,374.2,8.3,5.9,13.8,143,150.8,59.2,260.4,6.5,38.8,59.1,22.1,72.8,125.3,1.3,1.1,18.4,1.6,4.9,1,1.2,2.5,0,,,,
25.05.13,157.8,138.7,165.8,107.7,256.2,36.2,25.8,30.8,6.3,67.9,265.3,141.8,368.3,8.4,5.9,13.8,142.9,160.8,58.5,264,5.5,40.1,58.8,21.4,73.5,123.5,1.1,1.3,19.2,1.8,5.2,1,1.4,2.7,0,,,,
26.05.13,161.2,139.4,165.1,105.3,259.7,35.8,26.2,30.3,6.2,67.2,262.4,140.2,372.1,7.8,5.9,13.8,144.7,159,53.1,255.1,6.6,40.5,56.5,19.3,74.3,121,0.7,1.3,20.5,1.3,4.3,1.1,1.3,2.6,0,,,,
27.05.13,157.8,134.7,162.7,100,260.6,34.6,24.7,23.3,5.6,65.5,254.8,139.7,361.8,6.4,5.8,15.2,144.1,148.5,48.8,241.4,6.5,41.2,60.5,18.9,66.3,120.8,1,1.4,21.6,1.4,4.3,1,1.4,2.7,0,,,,
28.05.13,149.1,133.2,171.2,108.4,265,35.3,23.2,24.4,6.3,60.6,261.1,142.5,375.6,6.3,5.8,13.8,140.4,147.7,53.6,246.7,6.6,37.1,58,19.8,58.3,128.2,0.9,1.4,20.3,1.6,3.8,1,1.6,2.6,0,,,,
29.05.13,153.8,135,172.5,105.8,264.6,35.1,24.5,29.5,6,61.8,261.5,141.1,374.9,6.3,4.7,13.9,142,146.4,54.1,250.8,6.8,37.9,58.9,21.1,64.7,124.6,1.3,1.3,19.9,1.6,3,1,1.7,2.6,0,,,,
30.05.13,146.4,132.8,176.3,104.5,268.6,35,24.5,30.1,5.8,63.7,259.5,142.6,370.2,6.8,5.8,13.1,135.4,141.9,53.8,246.2,6.8,39.7,57.2,18.2,68,111,1.3,1.3,20.7,1.5,3.9,1.1,1.5,2.6,0,,,,
31.05.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
01.06.13,151.9,133.9,169,104.7,251.2,34.9,25.7,31.9,5.8,64.7,265.8,140.2,367.2,7.6,6,13.8,124.5,139.9,51.4,230.8,6.6,19.8,44.8,15.7,68.2,104,1.2,1.4,21.2,1.6,3.7,1,1.1,2.9,0,,,,
02.06.13,149.7,135.7,169.2,96.2,239.2,35.9,25.2,30.3,5.6,63.1,262.1,135.1,355.3,7.1,5.7,13.5,125.8,122.3,47.6,226.2,6.4,27.7,51.3,14.2,70.7,115.7,1.3,1.3,21.1,1.7,3.8,1.1,1.6,2.6,0,,,,
03.06.13,148.9,129.4,162.2,89.1,239.4,34,23.9,28.3,5.1,60.3,246.8,131.1,337.2,6.9,5.6,13.6,116.4,117.4,44.1,224.7,6,38.2,53,16.9,66.8,119,1.1,1.5,21.1,1.4,4.3,1,1.6,2.7,0,,,,
04.06.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
05.06.13,158,136.4,168,104.7,244.6,35.9,24.9,29.6,6.1,60.1,251.4,133.4,333.5,7.8,6,13.8,123.6,131.1,51,238.6,6.3,39.6,53.7,19.7,70.5,133.4,1.1,1.5,21.6,1.5,3.8,1,1.5,2.4,0,,,,
06.06.13,159,138.6,169,109.2,248,36.3,25.2,29.4,6.4,62.1,250.3,113.6,344.3,7.6,5.9,13.9,127.3,135.5,53.1,246.4,6.4,39.4,55.7,18.5,67.8,132.4,1.2,1.3,21.7,1.4,4.6,1,1.4,2.8,0,,,,
07.06.13,148.1,127.3,168.3,106.1,244.9,29.4,24.9,29.5,5.5,58.5,256.8,122.5,339.8,7.2,6,14,121.6,132.6,51.3,245.1,5.9,40.1,55.4,18.8,69.5,133.6,1.2,1.4,19.7,1.4,4.2,1,1.3,2.9,0,,,,
08.06.13,146.8,119.5,165.6,104.4,240,28.3,26.1,31,5.7,59.6,242.2,116.5,323.1,7.4,5.8,13.7,122.7,134.9,50.2,242,6.4,38.3,53.2,18.1,67.6,138,1.1,1.3,19.7,1.5,4.4,0.9,1.4,2.8,0,,,,
09.06.13,159.5,138.5,165.3,107,244,34.5,25.8,29.9,5.8,54.3,244.3,121,327.9,7.4,5.8,11,110,130.9,47.9,246.1,6.2,40.6,55.1,17.8,64.3,130.1,1.2,0.9,20.1,1.3,4.4,1,1.2,2.5,0,,,,
10.06.13,163.5,136.6,158.5,103,241.1,32.1,24.7,29.3,5.4,59.3,240.5,112.4,304,6.3,5.6,13.3,108.1,121.8,44.2,237.7,5.9,40.8,54.5,18.5,68.4,128,1.1,1.3,20,1.5,4.6,1,1.5,2.9,0,,,,
11.06.13,178.1,143.4,151,109.6,235.8,34.4,23.1,27.4,6,56.9,230.5,122.3,313.6,6.9,5.6,13.3,116.3,136.7,50.3,238.3,6.5,42.1,53.2,17.5,68.2,122.7,1.3,1.2,22.1,1.4,4.5,1,1.6,2.9,0,,,,
12.06.13,161.4,139.5,147.6,103.8,229.2,27.2,24.3,27,5.8,58.3,224.3,115.4,325,6.9,6,13.2,118.5,138.6,47.3,247.4,6.6,42.9,49.8,18.9,68.5,134.6,1.2,1.3,23.6,1.5,4.1,1,1.5,2.6,0,,,,
13.06.13,168.6,144.5,148,104.2,236.3,33.3,24.3,26.2,5.6,54.2,226.1,112.8,269.3,7.5,5.8,13.8,112.4,137.7,48.5,243.3,6.6,42.1,55.1,19.5,62.2,130.5,1.2,1.2,21.4,1.3,4.2,1,1.5,2.7,0,,,,
14.06.13,133,126.6,144.9,97.8,241.7,33,23.7,25.7,5.1,53.3,227,111.8,272.9,7.5,5.8,13.8,109.8,135.7,47.4,241.7,6.6,40.8,55.3,18.5,65.1,119.8,1.2,1.2,21.2,1.2,4.5,1,1.5,2.7,0,,,,
15.06.13,152.6,127.2,140.4,97.6,247.9,33.8,24.1,25.5,5.2,54.5,226.6,113,304.8,8.1,5.9,13.6,103,136.6,47.5,251.3,6.6,35.7,54.1,16.6,70.2,120.8,1.1,1.3,22.3,1.4,4,1,1.6,3.2,0,,,,
16.06.13,112,109.6,139.8,89.3,230.9,30.8,21.1,23.9,4.1,53,218.3,107,298.3,7.5,5.8,13.7,107.8,135.6,46.5,248.2,6.5,36.4,56,17.7,67.8,121.1,1.2,1.3,23.1,1.6,4.3,0.9,1.5,2.8,0,,,,
17.06.13,106.4,90.8,141.6,75,199.3,22.6,20.4,24.9,3.4,57.8,205.5,100.7,282.9,7.1,5.8,13.5,113.7,127,42.8,244.2,6,39.2,52.7,17.7,71.7,116.8,1,1.1,21.7,1.3,4.1,0.7,1.2,2.4,0,,,,
18.06.13,109.2,93.5,141.4,76.1,182.8,18.9,20.6,25.5,4.1,60.6,192.4,99.2,298.5,7.4,5.6,13.3,127.4,140.9,48.4,251.7,6.5,41,57,18.9,70.5,135.8,1.1,1.1,23.3,1.3,4.8,1,1.3,2.7,0,,,,
19.06.13,143.1,113.6,142.7,81.1,202.3,17.1,22,26.3,4.5,58.6,199.1,104.5,305.4,7.6,5.9,14.1,133.3,146.8,49.8,257,6.6,40.6,58.8,19.3,73,137.9,1.1,1.3,22.3,1.4,4,1,1.4,2.9,0,,,,
20.06.13,168.6,128.3,145.1,86.5,200.3,27,21,25.8,5,61.5,204.7,109.8,313,7.7,6,14.2,135.3,147.9,50.9,258.3,7,38.5,56.5,18.8,68,136.6,1.3,1.3,23.1,1.4,4.1,1,1.6,3,0,,,,
21.06.13,188,137.8,151.7,94.1,223.9,32.7,25.5,29.9,5.5,61.7,211.4,106.8,318,7.6,6.1,14.2,140.4,148.5,50.9,263.2,6.8,39.8,51.7,17.3,64.6,120.1,1.1,1.2,23.3,1.3,4.1,1,1.5,3.1,0,,,,
22.06.13,192.3,147.1,155.2,103.3,229.4,32.5,26.8,29.4,5.9,62.1,219.1,107.6,316.3,7.9,6,14,140.9,151.2,52.1,266.5,6.7,40.6,59,18.1,68.7,124.8,0.8,1.4,22.7,1.4,4.2,1,1.7,3.2,0,,,,
23.06.13,189.6,156.1,163,100.4,229.4,33.7,25.9,29.9,6,58.4,226.5,111.1,319.7,7.8,6,14.2,131.3,148.6,51,265.4,6.7,41,58.6,18.3,61.8,127.2,1.3,1.1,21.1,1.3,4.9,1,1.7,3.3,0,,,,
24.06.13,193.7,154.1,161.4,102.9,233.8,32.2,24.6,29.7,5.5,58,213.5,108.9,310.5,7.2,6,14.3,124.1,140.7,46.2,249.4,6.2,42.2,58,18.5,71.8,124.3,1,1.2,20.5,1.5,4.1,1,1.7,3.3,0,,,,
25.06.13,196.2,156.5,169,109.5,233.4,32.7,24.6,29.1,6.3,56.3,227.9,109.4,317.5,7.5,6.1,13.3,121.9,145.9,47.9,256,6.5,43.9,52.5,18,69.8,125.9,1,1.2,20.7,1.4,4.4,1,1.7,3,0,,,,
26.06.13,195.9,165.5,165.1,105.2,216.1,31.4,24.9,29.5,5.9,55.9,232.7,107.4,302.4,7.4,6.3,14.3,114.9,141.3,48.3,254.2,6.6,40.6,57.5,18,76.3,132.2,1.1,1,18.7,1.5,4.8,0.9,1.5,2.9,0,,,,
27.06.13,195,168.8,201.8,102.2,231.2,31.4,24.5,26.7,5.7,58,222.2,103.2,303.9,7.7,6.3,14.2,123,142.7,50.8,262,6.6,40.1,54.6,17.4,73.4,125.3,1.2,1,21,1.4,4.3,1,1.6,3,0,,,,
28.06.13,190,168.1,156.9,104.1,217.8,30.7,24.1,25.9,5.5,54.6,223.6,97.9,308.3,7.9,6.1,14.3,129,143.9,52.3,263.3,6.6,39.7,55,17.5,71.9,129.4,1.1,1.2,21.4,1.5,4.6,1,1.5,3,0,,,,
29.06.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
30.06.13,171.6,160.9,166,100,197,32.4,23.9,27.3,4.9,59.5,227.5,100.3,308.9,7.3,5.8,14.5,127.8,148,52.9,258.4,6.1,36.9,57.1,19.3,65.3,120.6,1.1,1.3,21.2,1.6,4.9,1,1.7,3.2,0,,,,
01.07.13,140.2,144.1,156.9,96.6,176.4,31.4,23.4,28,4.6,60.3,219.9,101.3,306.1,6.9,5.7,14.4,131.5,140.8,49.3,246,5.9,38.4,55.1,18.3,61.9,105.7,1,1.3,21.3,1.3,4.6,1,1.6,3,0,,,,
02.07.13,183.7,166.3,163.2,106.3,208.5,31.3,25,28.2,5.8,59.3,233.2,101.6,320.5,7.3,5.6,14.2,134.9,148.8,51.4,256.4,6.2,40.7,55,18.1,70.2,113.5,1.2,1.5,20.8,1.3,4.5,1,1.6,3.2,0,,,,
03.07.13,188.4,176.7,151.2,110.3,218.1,32.2,25.6,30.4,6.3,58.4,236.9,102.3,327.1,7.1,5.8,14.5,128.9,150.4,52.3,255.7,6.4,41.5,56,19.7,68.4,126.1,1,1.2,22.1,1.7,4.7,1,1.6,3,0,,,,
04.07.13,189.9,174.3,149.2,106.3,223.4,32.8,24.1,31,5.9,59.1,233.8,102,318.1,7.8,5.9,14.6,130.9,147.4,50.6,260.1,6.1,43.4,59.7,20,68.9,126.3,1.1,1.1,22.5,1.7,5.1,1,1.5,2.9,0,,,,
05.07.13,195.2,177.8,149.7,108.2,230.5,33.2,25.1,31,6.2,61.8,199.6,102.7,311.5,7.8,6.2,14.1,123.9,145,49.8,259.8,6.2,42.6,56.9,19.9,69.3,118.4,1,1.3,21.3,1.7,4.9,1,1.5,3.7,0,,,,
06.07.13,180.2,175.5,155.4,108.6,226.9,34.4,24,30.2,6.1,65.3,194.8,107.7,313.3,7.9,6.2,14.2,123,150,53,261.8,6.5,42.2,59,20.1,69.9,136.2,1.2,1.3,21.6,1.5,4.9,1,1.4,3.2,0,,,,
07.07.13,185.6,176.6,154.2,103.1,233.1,34.4,24.6,27.9,5.4,66.4,200.4,109.7,317.5,7.1,6.1,14.6,124.8,149,53.3,258.2,6.6,38.9,54.5,20.1,64.8,136.4,1.2,1.2,22.5,1.8,4.4,1,1.3,3.2,0,,,,
08.07.13,196,172.7,146.5,97,229.4,31.3,21.9,28.2,4.7,67.1,193.4,110.3,308.3,6.9,6.1,14.6,118.4,137.8,48.5,237.4,5.7,40.2,59,19.7,61.2,119.5,1.1,1.1,22.1,1.4,4.1,0.9,1.4,3.2,0,,,,
